Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Ncam1;[  0.99274402 216.51271562 691.5233173 ];[0.99274402 0.83869335 1.21274978];[3.09809803 2.52395617 3.86848901];3.16
Pts;[0.35216782 1.11325483 7.14848792];[0.35216782 0.24285841 0.50400755];[ 6.42125031  3.92326423 10.50702847];1.72
Bco2;[0.00291235 0.12641276 2.18280614];[0.00014562        nan        nan];[17.26729239         nan         nan];0.05
Timm8b;[ 0.16729873  0.72049504 33.5797336 ];[0.16729873 0.13129155 0.2108723 ];[46.60647419 34.73899592 63.09141816];6.33
Pih1d2;[0.04270152 2.71827458 4.15486754];[1.38777878e-17            nan            nan];[1.52849443        nan        nan];0.06
Dlat;[  1.23079766 303.84043012 499.13220527];[1.23079766 0.97406563 1.57377478];[1.64274453 1.26065246 2.13167538];2.01
Hspb2;[0.03976493 0.36930246 1.0956143 ];[6.9388939e-18           nan           nan];[2.96671271        nan        nan];0.11
Cryab;[9.52273175e-01 4.94949052e+02 4.55315372e+03];[0.95227318        nan        nan];[ 9.19923717  7.72971158 11.00435622];8.74
1110032A03Rik;[1.04675723e-01 8.70245166e+01 2.90482678e+02];[0.10467572 0.07781343 0.14981688];[3.33794073 2.04879857 5.62549044];0.35
Fdxacb1;[0.08350796 0.90523531 1.66844776];[0.0041754       nan       nan];[1.84310945        nan        nan];0.14
Sik2;[0.0424798  0.37018684 1.09548156];[6.9388939e-18           nan           nan];[2.95926665        nan        nan];0.11
Layn;[ 0.64945067  2.91267102 10.19963619];[0.64945067 0.45958429 0.94760122];[3.50181538 2.02123768 5.72104313];1.86
Gm684;[6.48335993e-02 4.80022473e+01 1.37520796e+02];[0.06807528 0.04299556 0.10643325];[2.6929895  1.41404532 5.41501622];0.19
Arhgap20;[  0.26106814 106.03420422 197.91537832];[0.26106814 0.19409966 0.36677702];[1.86652392 1.24472676 2.84021184];0.49
Fdx1;[  1.15806621 482.63149079 812.80115934];[1.15806621 0.93008913 1.51233981];[1.63357995 1.25967081 2.15183573];1.95
Rdx;[  1.18084981  34.52075211 187.34000512];[1.06276483 0.87821    1.34990837];[5.42688075 4.51377925 6.56912886];6.2
Kdelc2;[  0.87502555 146.88676017 159.13748545];[0.87502555 0.64413384 1.24977599];[1.08340252 0.74879404 1.5285905 ];0.94
Atm;[0.22027361 1.3172066  5.00396428];[0.22027361 0.1199091  0.3723716 ];[3.79892135 1.9403613  7.91378925];0.72
Npat;[0.29043723 1.09767156 4.85535797];[0.29043723 0.16405357 0.47265444];[4.42332491 2.3280897  9.05971784];1.02
Acat1;[  1.16380026 169.1560149  561.18214646];[1.16380026 0.97252949 1.41030295];[3.31754178 2.67489517 4.09314451];3.83
Cul5;[  1.21386707 365.14186137 382.51270856];[1.21386707 0.91291571 1.65779197];[1.04757287 0.75241982 1.43182409];1.27
Dmxl2;[0.00349344 0.04701917 1.0960061 ];[8.67361738e-19            nan            nan];[79.25321577         nan         nan];0.08
Idh3a;[   1.71330125  805.4041573  1101.8183355 ];[1.62763618 1.30587495 2.05827351];[1.08074496        nan        nan];2.34
Acsbg1;[ 0.15122386  3.82169533 11.78197368];[0.15122386 0.09451463 0.23768648];[3.0829181  1.82150311 5.4621801 ];0.45
Wdr61;[  1.27088317  28.25604645 165.64717433];[1.27088317 1.02280939 1.53724904];[5.86236205 4.72052935 7.10843788];7.13
Crabp1;[9.38693037e-02 4.52438335e+01 2.79590502e+02];[0.0938693  0.07267421 0.11711061];[6.17963777 4.01331292 9.87255417];0.58
Fbxo22;[  0.81621576 122.97735448 242.91380617];[0.81621576 0.65005515 1.06499377];[1.91601448 1.46779886 2.56604021];1.6
Etfa;[ 1.4115658   5.24912781 34.0392174 ];[1.4115658  1.11285278 1.82769969];[6.48473777 4.35877476 9.25748388];7.21
Scaper;[0.04756135 0.30373715 2.28209243];[1.38777878e-17            nan            nan];[7.5133794       nan       nan];0.31
Rcn2;[  3.02047828 398.93970867 584.60221258];[3.02047828 2.36465666 3.78426847];[1.50935158 1.16113571 1.89556899];4.39
Tspan3;[  1.28087346 109.83026079 662.2726862 ];[1.28087346 1.09424759 1.52278897];[6.02996553 5.00836432 7.22449277];7.63
Lingo1;[0.2344402  3.07609273 9.58868911];[0.2344402  0.15419547 0.35918975];[3.11716517 1.81645472 5.26883423];0.68
Cspg4;[ 0.1284068   5.6197137  20.19526316];[0.1284068  0.08227794 0.19105954];[3.59364627 2.18191407 6.27372085];0.45
Ptpn9;[0.13078685 0.57075296 5.24500409];[0.13078685 0.06908783 0.21836612];[ 9.18962226  4.90347423 19.20334077];0.98
Commd4;[  1.76171781 123.99471427 440.90685819];[1.76171781 1.36181553 2.11202028];[3.55585204 2.94295339 4.33677958];6.18
1700017B05Rik;[0.16500216 1.49811966 8.13997141];[0.16500216 0.09637724 0.25518161];[ 5.43345879  3.13803717 10.37669841];0.81
Ppcdc;[ 0.22408567  5.77868751 18.06590599];[0.22408567 0.14028623 0.34478136];[3.12629917 1.8495837  5.70275408];0.67
Scamp5;[0.18583209 1.70112159 3.63915908];[0.18583209 0.03518591 0.38450946];[2.0750923       nan       nan];0.36
Cox5a;[   2.51422862  458.54329661 1481.29900966];[2.51422862 2.12636911 2.98988446];[3.23044524 2.69056209 3.87707708];8.08
Mpi;[ 0.7289873  22.01907919 35.07975972];[0.65608857 0.40977564 1.00755678];[1.97550959 1.09450313 3.69063055];1.12
Scamp2;[0.93623897 3.78714182 7.91088445];[0.93623897 0.50772639 1.61785799];[2.0888799  0.9613179  5.28142312];1.57
Csk;[  0.92316631 226.1824738  507.42548346];[0.92316631 0.74944021 1.15269514];[2.24343414 1.74871053 2.85684705];2.06
Clk3;[ 0.60841233 27.81449662 81.86103681];[0.63883295 0.50104208 0.78278621];[2.9431069  2.16681369 3.83958398];1.75
Ubl7;[0.87875599 1.85067156 7.73212413];[0.87875599 0.55551189 1.38043348];[4.17800991 2.06066948 8.43704142];2.49
Islr;[ 0.07874511  1.49519339 10.54915316];[0.07874511 0.05014402 0.12234318];[ 7.05537708  4.06228134 12.0934785 ];0.53
Pml;[ 0.47919154  3.84902346 11.00648018];[0.55107027        nan        nan];[2.25904555 2.04336462 2.36749969];1.22
Stoml1;[  0.75386952 200.48016688 200.70789767];[0.79156299 0.55768987 1.12611034];[0.97110185 0.66085897 1.42850127];0.75
Loxl1;[  1.67200466  74.81068705 972.57936685];[1.42120396        nan        nan];[13.0005405  11.15416257 15.24746761];21.26
6030419C18Rik;[  0.71712747 124.56288726 269.7509532 ];[0.71712747 0.56428161 0.92483302];[2.16558045 1.62627678 2.87024387];1.54
Cd276;[ 1.0627488   9.02053721 12.60999565];[1.0627488  0.64536529 1.67935968];[1.3979207  0.82038006 2.94408618];1.33
Nptn;[   1.86865006  396.29921521 1248.52114338];[1.86865006 1.57263574 2.22685301];[3.15045071 2.60777071 3.82196664];5.86
Neo1;[ 0.33200188 11.50340781 31.9303095 ];[0.33200188 0.22532449 0.46545478];[2.77572612 1.83565501 4.59912808];0.9
Adpgk;[  0.88940894 182.4327741  283.30565637];[0.93387939 0.70784277 1.20797628];[1.50634385 1.10818878 2.00627   ];1.37
Bbs4;[ 0.16083445 14.20457493 14.37978622];[0.00804172        nan        nan];[1.01233485        nan        nan];0.16
Arih1;[ 0.51698296  6.44634485 19.04223413];[0.51698296 0.36264474 0.72948496];[2.95395834 1.9273379  4.8055018 ];1.41
Hexa;[ 0.93342768 24.06357947 78.250748  ];[0.8867563  0.68121109 1.16693965];[3.25183326 2.49139816 5.24716618];2.92
Senp8;[3.57680679e-01 7.66087904e+02 9.37480417e+02];[0.35768068 0.29694673 0.42778927];[0.89331877        nan        nan];0.44
Myo9a;[0.40066655 2.49516552 5.43494743];[0.40066655 0.21815204 0.7155504 ];[2.17819114 1.05759922 4.77539307];0.75
Thsd4;[0.08781766 3.59160622 9.01450452];[0.08781766 0.04455607 0.15571173];[2.50988109 1.24133438 5.4834249 ];0.22
Lrrc49;[0.17124484 4.20062155 8.51675569];[0.17124484 0.08969112 0.28842056];[2.02749893 1.07383364 4.32888435];0.33
Uaca;[0.31717283 2.85581227 9.55816941];[0.31717283 0.19852151 0.48407231];[3.44732551 1.93230899 6.12225312];0.96
Kif23;[0.08242395 1.31187487 9.63746671];[0.08242395 0.05545664 0.12147534];[ 7.34633075  4.49255589 11.89067391];0.57
Glce;[  0.68300288 174.13527964 307.56297434];[0.68300288 0.52448937 0.89941173];[1.76623011 1.30327686 2.40634387];1.2
Anp32a;[ 0.62249514  9.86886421 56.29150443];[0.62249514 0.4938919  0.79243481];[5.70394964 4.20551438 7.86343982];3.34
Fem1b;[0.21375151 1.21637605 5.32286106];[0.21375151 0.13403137 0.3303841 ];[4.37599956 2.51774894 7.70971703];0.8
Calml4;[  0.40218851 105.01624285 164.73001305];[0.42229794 0.31001501 0.59318094];[1.47449774 1.00017205 2.13086098];0.63
Pias1;[ 0.14298806 27.68630589 76.35038218];[0.14298806 0.09470972 0.23286954];[2.75769481 1.53205769 5.30736342];0.39
Map2k5;[  0.49196165 141.81916966 219.41130413];[0.49196165 0.36375517 0.67075237];[1.54712021 1.09318583 2.21707319];0.76
2300009A05Rik;[0.10027448 0.39346802 3.96162372];[0.10027448 0.03642171 0.18113754];[10.06847703  4.99369525 30.60149917];0.8
Aagab;[0.46805922 1.04587045 3.91235214];[0.46805922 0.20508552 0.84834136];[ 3.7407617   1.60701158 11.19315669];1.21
Smad3;[  0.47000619  41.03679268 103.49078271];[0.47000619 0.33049623 0.60688444];[2.52190232 1.88963352 3.39694646];1.17
Smad6;[ 0.35908215  7.70263863 45.26831172];[0.37703626 0.28488108 0.47528903];[5.8769876  3.99034192 8.18348482];2.02
Zwilch;[ 0.17609729  4.48265937 13.23881419];[0.17609729 0.11169071 0.2684584 ];[2.95333932 1.75039024 5.17599109];0.5
Rpl4;[2.63986075e+00 9.90679048e+02 6.17260234e+03];[2.63986075 2.26945018 3.06691729];[6.04375785        nan        nan];16.4
Snapc5;[0.16384685 0.60935612 6.22931236];[0.16384685 0.10727873 0.24323959];[10.22277807  6.18551724 17.0534034 ];1.32
Map2k1;[ 0.7950918   6.08173962 25.34755863];[0.7950918  0.59049723 1.07051413];[4.16781385 2.71547492 6.50455741];2.93
Tipin;[  0.47809656  62.90371653 253.45180361];[0.47809656 0.39162772 0.58504092];[4.02920237 3.15718778 5.21725503];1.91
Dis3l;[  0.27144337  62.11216394 134.33240476];[0.27144337 0.19458209 0.37965775];[2.16273909 1.43603306 3.25058432];0.58
Rab11a;[ 0.23692973  0.41210605 24.03600885];[0.23692973 0.17657441 0.31142066];[58.32481498 41.17978334 84.65430623];8.77
Dennd4a;[5.80486684e-01 4.44353022e+02 6.30870613e+02];[0.60951102 0.44527854 0.83833275];[1.33456587 0.94848801 1.92513177];0.82
Ptplad1;[  1.30459566 234.56417342 350.1952677 ];[1.36982545 1.05481656 1.72984265];[1.4481726  1.10537696 1.88236758];1.94
Dpp8;[ 0.54586176  6.09546277 13.11847498];[0.54586176 0.34594689 0.82670738];[2.15217047 1.29695566 4.03376515];1.08
Cilp;[3.18802024e-02 1.28819401e+01 1.15907928e+02];[0.03347421 0.02124335 0.04941037];[ 8.99770738  4.67366025 19.47128119];0.29
Clpx;[ 1.04758908 15.89979453 17.98320481];[1.04758908 0.54021457 1.60859735];[1.13103379 0.68044084 3.0716088 ];1.11
Spg21;[0.69651376 0.94456416 5.61087818];[0.69651376 0.42450146 1.09631746];[ 5.94017686  3.0030767  12.34165161];2.38
Plekho2;[  0.61425527  69.87338199 162.58791293];[0.61425527 0.49641653 0.80016709];[2.25708662 1.71345001 2.98506813];1.42
Pif1;[0.05662897 5.31706109 6.44317261];[1.38777878e-17            nan            nan];[1.2117921       nan       nan];0.07
Zfp609;[0.1718819  1.62151083 5.2492758 ];[0.1718819  0.08248801 0.31690089];[3.23727459 1.55183313 7.62005596];0.5
Trip4;[ 1.16326064 83.87635986 92.51938341];[1.22142368 0.86789958 1.63185096];[1.10304481 0.78097186 1.52751458];1.27
2810417H13Rik;[4.60890985e-02 1.00849462e+01 1.06508573e+02];[0.0460891  0.03176561 0.06798936];[10.24431015  5.93062983 19.28812129];0.48
Snx1;[ 0.44410046  2.81778882 15.02860915];[0.44410046 0.32942179 0.60303185];[5.33347604 3.48643656 8.01172472];2.05
Fam96a;[ 0.75681005  3.55900657 14.50978357];[0.75681005 0.56658627 1.08106441];[4.07691958 2.40703223 6.17467306];2.54
Herc1;[ 0.53865865 29.35249528 50.8373776 ];[0.56559158 0.42115447 0.75345191];[1.73196102 1.1614277  2.44757921];0.92
Car12;[0.01362619 0.43102179 1.31769215];[0.00068131        nan        nan];[3.05713581        nan        nan];0.04
Aph1b;[ 0.37471098 74.85342265 95.59683149];[0.39344653 0.26867103 0.58537675];[1.20049316 0.77207688 1.88624467];0.48
Rab8b;[  0.75872291  93.51397378 348.1726587 ];[0.75872291 0.6317119  0.92289918];[3.72321531 2.96105446 4.66181591];2.8
Rps27l;[   4.8957614   264.2425125  1396.83383762];[4.8957614  4.18903704 5.75972887];[5.28618134 4.49354021 6.21244788];25.41
Lactb;[  0.82853609 118.30520516 288.30348664];[0.82853609 0.65999271 1.01714466];[2.51005516 1.9393902  3.18910001];2.01
Tpm1;[  1.7182369   12.51505857 683.53402352];[1.7182369  1.45847006 2.94903196];[54.61692568 43.01921105 63.12101595];82.52
Tln2;[5.41473287e-01 1.28860534e+02 6.11678412e+02];[0.54147329 0.45539126 0.65136933];[4.74682505 3.77526736 6.02462897];2.56
Rora;[ 0.36832304 14.32865373 17.07154455];[0.36832304 0.17066646 0.62126514];[1.19142697 0.65684914 3.12333613];0.43
Anxa2;[  1.5039153   18.97185976 449.43648208];[1.35352377        nan        nan];[23.68963759 20.41400642 27.69694522];33.01
Ccnb2;[ 0.09813183  1.97319861 24.23587197];[0.09813183 0.07422024 0.12960446];[12.2825304   8.58324399 17.85015672];1.15
Sltm;[ 0.32291187  2.51692788 12.1904971 ];[0.32291187 0.23717913 0.45048865];[4.84340341 3.06560161 7.26699492];1.39
Fam63b;[ 0.27210428  1.62286406 11.21466977];[0.27210428 0.19270068 0.37039992];[ 6.91041847  4.60824412 10.84919423];1.61
Adam10;[  0.45139402 101.79848524 371.75862316];[0.45139402 0.36583411 0.58097221];[3.54235    2.68589759 4.82026874];1.64
Cgnl1;[  0.33182095  87.89906264 215.94673708];[0.33182095 0.2549596  0.43787037];[2.45675813 1.76573283 3.45832827];0.81
Tcf12;[  0.77136934  77.46809775 192.34413493];[0.77136934 0.61606995 0.98523216];[2.48288186 1.89837512 3.23069273];1.9
Mns1;[0.13126432 2.46531323 4.09135037];[0.13126432 0.02682695 0.27588786];[1.65956615        nan        nan];0.21
Tex9;[ 0.11735456  9.07433243 21.24945524];[0.12322229 0.08010805 0.18951373];[2.34171003 1.3132942  4.09375932];0.27
Nedd4;[  2.47754075  68.69634001 575.05844813];[2.47754075 2.02234709 2.91474896];[8.37102017 6.99349662 9.82653221];20.02
Ccpg1;[ 0.35269868  8.53176198 18.40420026];[0.35269868 0.22587127 0.51782117];[2.15713944 1.35817192 3.84839528];0.73
Pigb;[0.14918389 0.63974708 1.29751714];[5.55111512e-17            nan            nan];[2.02817205        nan        nan];0.25
Arpp19;[  0.3924133    2.38220309 113.08644715];[0.3924133  0.33276237 0.4623708 ];[47.47137128 38.26020678 59.17389053];15.99
Myo5a;[ 0.87454289 13.90986106 33.80477317];[0.83081574 0.60793041 1.17454034];[2.43027396 1.66694794 4.17044652];2.0
Mapk6;[ 0.32837563  1.91726211 15.2845898 ];[0.32837563 0.24999824 0.43444072];[ 7.97209192  5.47597722 11.37888274];2.24
Leo1;[0.35168671 1.20155192 7.20783432];[0.35168671 0.24816035 0.49025154];[5.99877061 3.83708857 9.48989313];1.63
Tmod3;[ 0.61774851 23.52327581 38.33475011];[0.55597366 0.33565869 0.85012318];[2.11854741 1.1304878  3.89937896];0.98
Tmod2;[0.04445897 0.53581372 2.60099601];[0.00222295        nan        nan];[4.85429154        nan        nan];0.2
Lrrc1;[  0.48420313 148.06138323 208.45946195];[0.48420313 0.36427467 0.66876629];[1.40792594 0.97702361 2.00347563];0.68
Gclc;[  0.63643733  88.08034158 120.84007797];[0.6682592  0.47774103 0.83472091];[1.37193017 0.9743412  1.93030446];0.87
Elovl5;[  0.95197078 250.4405497  463.82402708];[0.95197078 0.75790552 1.20906594];[1.85203246 1.42281354 2.40381144];1.76
Fbxo9;[0.14202304 0.39036169 3.57736926];[0.14202304 0.04210449 0.27067917];[ 9.16424257  4.1710026  35.61610534];0.95
Gsta4;[0.02884846 0.30173053 2.12688073];[0.00144242        nan        nan];[7.0489411       nan       nan];0.19
Slc17a5;[1.93008356e-01 8.61101426e+02 2.49388835e+03];[0.19300836 0.15745428 0.23210006];[2.374852      nan      nan];0.56
Cd109;[  0.52063872  92.0747488  214.68029422];[0.52063872 0.41716925 0.68192616];[2.26163946 1.72476853 3.04661235];1.21
Col12a1;[1.26872842e+00 3.37116226e+02 3.53047397e+03];[1.26872842 1.0847565  1.43444655];[10.78674922  9.08782347 12.60167061];13.24
Cox7a2;[  1.64457765 126.42180881 851.58293997];[1.64457765 1.39551854 1.89822875];[6.73604458 5.71483489 8.06108655];10.94
Tmem30a;[  1.08820727  29.10806813 161.01419384];[1.03379691 0.8115523  1.27724403];[5.53160014 4.56509433 6.74729217];5.8
Senp6;[ 0.62886175 20.20544876 60.81746657];[0.62886175 0.46108494 0.82871918];[3.00995377 2.19403257 4.38652436];1.84
Myo6;[0.29134797 1.00569681 2.64968996];[0.0145674       nan       nan];[2.63468069        nan        nan];0.6
Phip;[ 0.28250471  2.07808517 14.90089715];[0.28250471 0.21103854 0.37797793];[ 7.17049395  4.85621135 10.50400852];1.78
Hmgn3;[ 0.71894096 11.59613549 55.6462632 ];[0.68299391 0.53656396 0.87985461];[5.37453317 3.64802677 7.41908165];3.25
Ttk;[0.14774444 1.89864523 4.45048378];[0.14774444 0.0349319  0.27934075];[2.4143522       nan       nan];0.32
Fam46a;[4.56930039e-01 4.68678840e+02 6.65123513e+02];[0.45693004 0.3104098  0.56514301];[1.50429434 1.03277835 2.14907908];0.65
Ibtk;[5.78275635e-01 3.52764678e+02 6.06656564e+02];[0.57827564 0.48908646 0.79009333];[1.66812865 1.21221864 2.30644556];0.99
Tpbg;[  1.11633354 262.95015146 416.19501776];[1.28378357 1.01005441 1.63511675];[1.29788826 1.00804248 1.71384944];1.76
Pgm3;[ 0.6472521   4.49844352 16.29808434];[0.6472521  0.47154758 0.93558884];[3.62304968 2.25469959 5.67073649];2.05
Me1;[  1.13955627 112.96711289 146.23663803];[1.13955627 0.87576291 1.54702756];[1.29450629 0.95456924 1.73439562];1.46
Tbx18;[  0.45389647 213.42456279 293.32658373];[0.45389647 0.36754105 0.62772936];[1.41561204 0.96045004 2.0571979 ];0.62
Syncrip;[5.76144245e-01 2.06714656e+02 6.65691694e+02];[0.57614424 0.46092723 0.74233388];[3.12373083 2.37973207 4.2654227 ];1.85
Zfp949;[0.06382692 0.64649602 2.22873267];[1.38777878e-17            nan            nan];[3.44740352        nan        nan];0.2
Tmed3;[ 1.28026984  6.64278727 61.02935342];[1.28026984 1.03987308 1.59643139];[ 9.18731113  6.61844384 12.61522035];9.86
Ctsh;[ 1.31102362  8.46242702 47.78859964];[1.31102362 1.03290983 1.71868799];[5.64715058 3.75916565 8.17618142];6.41
Adamts7;[2.10174070e-01 1.30089985e+02 2.41580498e+02];[0.21017407 0.15758679 0.30840614];[1.80131532 1.18190125 2.88808208];0.39
Tbc1d2b;[0.38284623 2.00455641 4.89542444];[0.38284623 0.19779219 0.68308845];[2.44214851 1.1572409  5.7128565 ];0.79
Zic1;[0.03635196 1.81604126 3.73643192];[2.08166817e-17            nan            nan];[2.05745981        nan        nan];0.07
Plscr2;[ 0.54702609  3.08191478 13.96747744];[0.54702609 0.41258753 0.75090701];[4.53207775 2.87855937 6.68230288];2.11
Plscr4;[ 0.14369953 12.34368924 12.80427115];[0.14369953 0.0247181  0.27450062];[1.03731315        nan        nan];0.15
Plod2;[ 0.59789163  1.46333515 15.28890835];[0.59789163 0.46059951 0.7740769 ];[10.44798819  7.21001916 15.11341619];4.43
1190002N15Rik;[  0.60755788 345.38309278 385.51773462];[0.60755788 0.4047061  0.85978794];[1.11620326 0.76459828 1.62492679];0.68
Slc9a9;[0.09284568 1.64344085 1.86232458];[0.00464228        nan        nan];[1.13318625        nan        nan];0.1
Chst2;[  0.84376885 111.89167829 276.69464665];[0.84376885 0.69036709 1.05036639];[2.47287958 1.95209802 3.14458912];2.07
Pcolce2;[0.43395202 1.65231993 2.1951391 ];[1.11022302e-16            nan            nan];[1.32851941        nan        nan];0.46
Atr;[0.0534362  0.79983172 6.23269496];[0.0534362  0.01472707 0.1044825 ];[ 7.79250781  3.48932391 30.69622538];0.39
Xrn1;[0.00769938 0.01938453 1.00000007];[0.00038497        nan        nan];[51.58753559         nan         nan];0.28
Tfdp2;[0.14931539 0.76103658 4.74036113];[0.14931539 0.07652206 0.24480189];[ 6.22882164  3.38309059 13.52495842];0.78
Atp1b3;[ 1.09759109  4.55980195 25.78399437];[1.09759109 0.8464282  1.42509258];[5.82426923 3.73199001 8.38733854];5.0
Zbtb38;[  0.40024615 103.43044205 202.87210405];[0.40024615 0.29983085 0.53388665];[2.0202782  1.41756398 2.82565045];0.78
E030011O05Rik;[0.11775665 1.4952781  3.98694342];[0.00588783        nan        nan];[2.6663558       nan       nan];0.29
Rbp1;[6.91348366e-02 2.87320954e+01 1.04169344e+02];[0.06567809 0.04316792 0.10223679];[3.6255394  2.10164222 6.90869027];0.25
Copb2;[ 1.15807218  4.1959751  26.56036173];[1.15807218 0.90450922 1.51267985];[6.32996171 4.15912869 9.1574349 ];5.74
Mrps22;[ 0.99429633 28.40088522 92.06000428];[0.99429633 0.75669166 1.26062873];[3.24144841 2.47078017 4.09498259];3.11
Pik3cb;[0.30655294 2.96850422 4.97724898];[0.30655294 0.12709896 0.57295757];[1.67668583 0.78589648 4.90389519];0.47
Armc8;[0.07117417 1.17295697 4.6289431 ];[0.07117417 0.0215226  0.16280169];[ 3.94638781  1.48462022 14.18596056];0.26
Dbr1;[0.1948168  1.02379188 5.23354289];[0.1948168  0.11466409 0.31330428];[5.11192068 2.80617399 9.65610693];0.84
