Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Wrn;[0.30970128 1.92271699 2.65833717];[5.55111512e-17            nan            nan];[1.3825941       nan       nan];0.37
Purg;[0.02325076 0.12586801 1.42181154];[0.00116254        nan        nan];[11.29605201         nan         nan];0.22
Ppp2cb;[  0.57310002  83.31248811 267.83585955];[0.57310002 0.44907221 0.74366943];[3.21483448 2.37196454 4.3362871 ];1.83
Ubxn8;[ 0.31488222  4.16218655 17.80620318];[0.31488222 0.23184114 0.43789657];[4.27808868 2.72692877 6.41304588];1.25
Gtf2e2;[  0.60873485  85.4448971  270.22365639];[0.60873485 0.48910525 0.7618372 ];[3.1625488  2.43811124 4.13385693];1.91
Rbpms;[  0.49162996  76.04341488 159.05868479];[0.49162996 0.38286597 0.65984804];[2.02893208 1.4877516  2.82207436];1.02
Dctn6;[ 0.87909151  3.31954472 15.99030565];[0.87909151 0.66537971 1.19318623];[4.81701769 2.99803505 7.26894116];3.35
Leprotl1;[ 1.34155678 12.87215681 90.24888894];[1.27447894 1.01531886 1.57372665];[ 7.85251121  5.5865617  10.91671208];8.52
Tmem66;[  0.96558092  74.0975364  423.52294715];[0.86902283 0.69125773 0.23979292];[5.71574937 4.71558784 6.99377799];5.45
Eri1;[ 0.22131714  2.49988485 12.27962129];[0.22131714 0.15836815 0.31772248];[4.91207477 3.02348487 7.56567627];1
Lonrf1;[0.23076211 7.48060636 9.09158289];[0.25383833 0.11323296 0.42303307];[1.14243251 0.61091643 2.85534223];0.27
Dlc1;[ 0.08569196  0.58021976 27.56393152];[0.08569196 0.04779398 0.13775597];[47.50602032 26.0223436  97.60536385];3.55
Zdhhc2;[0.06179019 5.36140675 6.45561356];[2.08166817e-17            nan            nan];[1.2040895       nan       nan];0.07
Vps37a;[  1.14691304 359.12597931 532.65930961];[1.20425869 0.91153921 1.55626758];[1.43871388 1.06667315 1.90901111];1.7
Pdgfrl;[1.52655187e-01 7.27172867e+01 1.58431126e+02];[0.15265519 0.11894085 0.22391862];[2.17872714 1.35564254 3.55438903];0.33
Mtus1;[ 0.23800364 44.56248389 61.65410568];[0.23800364 0.12675406 0.36523354];[1.38354284 0.85359629 2.3122878 ];0.33
Pcm1;[ 0.53159435 14.11208142 35.74473894];[0.47843491 0.33439664 0.70051006];[2.9128552  1.80828486 4.86092559];1.3
Asah1;[  1.82744827  76.31503482 378.24819574];[1.82744827 1.45466369 2.1936497 ];[4.95640468 4.16636476 5.97118023];8.85
Frg1;[ 0.27463624  0.67310423 11.84652489];[0.27463624 0.20516056 0.36107959];[17.59983712 12.2462981  25.74667559];3.43
Fat1;[ 0.97068406  2.66295865 35.43187441];[0.97068406 0.804156   1.17878083];[13.3054542  10.02043392 17.5387957 ];9.47
Cyp4v3;[0.21519542 1.20869974 1.95391361];[0.01075977        nan        nan];[1.61654177        nan        nan];0.3
Ufsp2;[0.65522385 1.00435833 8.92528786];[0.65522385 0.47376693 0.89822253];[ 8.88655727  5.579826   14.28257977];3.52
Ankrd37;[ 0.11609828 13.00306489 22.48152953];[0.1219032  0.07546286 0.19894488];[1.62520436 0.90635103 2.99601592];0.2
Snx25;[  0.35437169  54.00575716 195.34193248];[0.35437169 0.28003677 0.44970128];[3.61705757 2.70938    4.9125671 ];1.27
Acsl1;[9.68353385e-02 4.65600274e+01 1.45700262e+02];[0.09683534 0.06537595 0.14518107];[3.12929932 1.8574557  5.59822017];0.3
Irf2;[  0.20412036  89.36350216 165.55615931];[0.20412036 0.13536625 0.32117071];[1.90819339 1.15432757 3.14669346];0.38
Stox2;[ 0.17797495  1.53015866 11.77786133];[0.17797495 0.12956378 0.24266428];[ 7.69715038  5.13406261 11.51623325];1.23
Rwdd4a;[0.63422615 1.93156816 6.50003264];[0.63422615 0.41677634 0.99063513];[3.3651583  1.74065261 6.0848435 ];1.61
Ing2;[  0.24010982  74.69666747 230.26133149];[0.24010982 0.17251572 0.33311418];[3.08261853 2.04289485 4.78821198];0.74
Wwc2;[ 0.29066396  2.46267245 10.60130995];[0.29066396 0.19830228 0.43762058];[4.30479901 2.5554672  7.06207932];1.12
Dctd;[  0.53430114 135.5727589  302.8446667 ];[0.53430114 0.42562171 0.70386257];[2.16680201 1.62594473 2.93976524];1.19
Aga;[ 0.84375413  2.13917992 11.2328089 ];[0.84375413 0.57836621 1.22748642];[5.25098837 2.9269146  9.37053797];3.18
Neil3;[0.07927098 2.17698567 3.05108859];[2.77555756e-17            nan            nan];[1.40151983        nan        nan];0.11
Vegfc;[ 0.42084907 18.03537831 51.20141887];[0.42084907 0.30052715 0.55087353];[2.83894344 2.1183313  3.84467814];1.17
Spcs3;[  1.44929609 146.02201344 293.12546501];[1.44929609 1.18459945 1.81035117];[2.00740599 1.59025113 2.51489463];2.88
Asb5;[3.17241099e-02 1.17098893e+01 1.42646268e+02];[0.03331032 0.02340973 0.04598342];[11.81624156  6.55913536 24.86011304];0.39
Sap30;[0.11112876 1.32325232 8.1973004 ];[0.11112876 0.06466188 0.17186229];[ 6.1948128   3.62115191 11.67517811];0.64
Hmgb2;[0.09243022 0.77746772 9.50438535];[0.09243022 0.06459475 0.12987896];[12.22479742  7.92941218 18.97334783];1.01
Galnt7;[0.24146586 3.07401086 4.32682468];[0.24146586 0.05056614 0.48342558];[1.40755023        nan        nan];0.32
Mfap3l;[  0.2692996  108.35687112 142.66937387];[0.30969455 0.20740193 0.47622001];[1.11916269 0.67763135 1.82503033];0.35
2700029M09Rik;[  0.816755   152.58513724 153.57728004];[0.816755   0.59895404 1.15621666];[1.00650222 0.69485229 1.42973205];0.82
Nek1;[0.05630438 0.67384328 2.55635462];[0.00281522        nan        nan];[3.79369313        nan        nan];0.2
Cbr4;[  0.46366996  65.72233629 116.53245623];[0.46366996 0.35225912 0.61799906];[1.77310277 1.27746446 2.47059564];0.82
Palld;[ 0.61742448  3.70136069 55.05483709];[0.61742448 0.5017189  0.73832444];[15.76666856 11.54271743 20.11389868];7.87
Tll1;[0.03336201 0.82090187 3.152048  ];[0.0016681       nan       nan];[3.83973787        nan        nan];0.12
Cpe;[  1.1614223   16.39073036 138.81087553];[1.1614223  0.96109833 1.30409915];[ 8.21479863  6.59584352 11.36407994];9.19
Klhl2;[ 0.2219392  28.06058885 83.12364623];[0.2219392  0.15790583 0.31347793];[2.96229159 1.94558922 4.65733162];0.65
Tmem192;[  1.05864917 110.74731558 229.7438951 ];[1.05864917 0.85530402 1.33652542];[2.07448726 1.6213787  2.64657941];2.18
Npy1r;[ 0.07629669 12.74812889 16.77455199];[0.08011153 0.05266917 0.16462383];[1.27636891 0.53237024 3.00383335];0.1
Csgalnact1;[  0.95662368 119.92500638 475.19430952];[0.95662368 0.81339536 1.15097761];[3.84355602 3.16610157 4.80731581];3.76
Ints10;[  0.60406288 201.13556379 401.92805117];[0.7550786  0.58384717 1.0075668 ];[1.39880601 1.04184199 1.93289027];1.2
Lpl;[0.1011227  1.140009   6.86359974];[0.1011227  0.06261436 0.15813789];[ 6.02065397  3.45996092 10.57291906];0.56
Atp6v1b2;[ 1.14974156 13.27299814 23.55673077];[1.14974156 0.71483835 1.66312616];[1.77478596 1.16684746 3.73224934];1.88
Gm10033;[0.02861521 0.37064596 2.37358456];[0.00143076        nan        nan];[6.40391314        nan        nan];0.17
Zfp869;[ 0.62668664  6.52436519 10.11637319];[0.62668664 0.36960449 0.9880278 ];[1.55055287 0.87760336 3.21617933];0.89
Zfp866;[0.24816649 7.72812409 8.94247493];[0.27298314 0.11104699 0.45379687];[1.08770593 0.58229547 3.03721537];0.28
Atp13a1;[0.48039942 1.52123516 7.54794833];[0.48039942 0.33573424 0.69763892];[4.96172355 2.93138779 8.0672594 ];1.81
Pbx4;[0.0913855  1.64006015 1.86164743];[2.77555756e-17            nan            nan];[1.13510924        nan        nan];0.1
Ndufa13;[  2.51344133  27.67748688 288.2889941 ];[2.51344133 2.05934249 3.03532035];[10.4160105   8.08643217 12.18501361];24
Gatad2a;[  1.47010137 178.16914852 258.95295587];[1.47010137 1.16050707 1.90172711];[1.45341075 1.10906175 1.88544209];2.12
Mau2;[  0.64858889  91.26260892 132.64168949];[0.84316556 0.61502632 1.1714058 ];[1.06098691 0.75874521 1.49510489];0.94
Sugp1;[  0.62089438  63.92476284 137.23208483];[0.58984966 0.42074301 0.80839577];[2.14677503 1.59782269 2.90203953];1.32
Nr2c2ap;[  0.46452282 126.66783764 233.47890698];[0.44129668 0.33098405 0.61598569];[1.95383174 1.34825773 2.78282402];0.85
Tmem161a;[ 0.92749551 31.51332079 86.48418713];[0.92749551 0.69854694 1.17706504];[2.7443692  2.07172275 3.48624249];2.47
Homer3;[ 0.27578765  1.99797988 14.13789942];[0.27578765 0.20226629 0.37852141];[ 7.076097    4.64332861 10.57876229];1.71
Cope;[  2.09508824 280.5628908  503.65428858];[2.09508824 1.69147436 2.62269267];[1.79515647 1.41639275 2.26244416];3.73
Upf1;[ 0.11474689  0.64139299 10.12121495];[0.11474689 0.07209591 0.16880328];[15.78005246  9.72577597 27.61086671];1.54
Comp;[6.38680102e-02 4.92105267e+00 7.29317026e+01];[0.06067461 0.04429682 0.084771  ];[14.82034587  9.71026356 23.95283979];0.93
Klhl26;[ 0.77808754 22.22549911 97.35306463];[0.73918317 0.56733429 0.93963471];[4.380242   3.53276156 5.47293322];3.29
Tmem59l;[7.37820125e-02 7.54363018e+01 2.14589774e+02];[0.07747111 0.05309711 0.10406532];[2.50329081 1.37725732 4.78868564];0.21
Crlf1;[1.48717439e+00 2.28151907e+02 2.20925801e+03];[1.48717439 1.27146891 1.70489934];[ 9.68327656  8.19931328 11.45049555];14.31
2810428I15Rik;[0.20432314 2.05966508 9.8618104 ];[0.20432314 0.13549702 0.29964202];[4.78806505 2.92544655 7.9859594 ];0.89
Fkbp8;[ 1.26045911 11.24303917 32.52657663];[1.32348207 0.96114497 1.75743816];[2.54587634 1.85593812 4.33182098];3.28
Isyna1;[  0.51162012 172.42289395 207.74349913];[0.51162012 0.36836585 0.71342244];[1.24099416 0.83374997 1.79352531];0.61
Ssbp4;[0.22336708 0.98759383 9.23299662];[0.22336708 0.16390424 0.30272032];[ 9.34898166  6.2771229  13.87163891];1.7
Gdf15;[3.80537179e-02 3.84655544e+00 5.98314238e+01];[0.03805372 0.02655127 0.05426758];[15.55454608  9.27993104 28.22457564];0.59
Pgpep1;[  0.70725274  57.19513665 155.65779774];[0.70725274 0.56728265 0.89073693];[2.72152156 2.11698528 3.53825682];1.9
Lsm4;[ 1.1169148   9.07881254 45.85963954];[1.06106906 0.85520041 1.40922067];[5.35435859 3.60392326 7.63019297];5.02
Haus8;[0.26886118 2.66141405 9.83968999];[0.26886118 0.17736408 0.40232179];[3.69716616 2.16796502 6.28129722];0.9
Myo9b;[0.52320185 1.45060092 5.66077849];[0.52320185 0.33399494 0.80926619];[3.90236793 2.09786554 7.24401639];1.5
Abhd8;[ 0.24827395  2.13784717 12.81132773];[0.24827395 0.18085086 0.34259732];[5.9926303  3.9183556  8.99521563];1.33
Bst2;[ 0.16433926  8.12214552 47.11322287];[0.17255622 0.13302825 0.22234105];[5.80058837 3.86393792 8.35533268];0.93
Glt25d1;[ 1.12863086  5.099336   24.71954669];[1.12863086 0.87049015 1.54282504];[4.84760107 3.01179238 7.15562458];4.48
B3gnt3;[0.01016439 0.56824741 3.32130062];[0.00050822        nan        nan];[5.84481433        nan        nan];0.06
Tpm4;[  1.76402532   5.73966376 117.46847885];[1.76402532 1.48132789 2.13129842];[20.46609065 15.14741824 26.56749753];27.62
Rab8a;[  1.49596506 126.65510635 470.28512999];[1.57076331 1.256795   1.81359207];[3.71311622 3.04430366 4.50367926];5.49
Fam32a;[0.23219103 0.35832968 6.81204368];[0.23219103 0.16424944 0.31855303];[19.01054823 12.62942749 29.3867546 ];2.68
Cherp;[0.18841614 0.74893417 5.43712658];[0.18841614 0.11004697 0.30195768];[ 7.25981905  3.98684869 13.86801076];1.09
Slc35e1;[0.19161107 1.64323014 5.6265559 ];[0.19161107 0.06895005 0.34032733];[ 3.42408271  1.69374187 11.2292537 ];0.59
Sin3b;[ 0.08570665  0.20748902 15.24722518];[0.08570665 0.04700113 0.13856455];[ 73.48449129  40.92522191 148.55965125];4.46
Large;[0.27922105 1.28637775 8.73976988];[0.27922105 0.20091355 0.38848491];[ 6.79409286  4.37839615 10.37708828];1.56
Hmgxb4;[5.75992330e-01 5.33888599e+02 6.63115639e+02];[0.54719271 0.46738092 0.77843902];[1.31657162 0.88761089 1.89501103];0.71
Hmox1;[  0.5377481   33.13067405 445.71694762];[0.5377481  0.46373183 0.55411053];[13.45330152 11.16379123 16.42980174];7.12
Mcm5;[ 0.21570791  3.58164065 25.68903216];[0.21570791 0.16258416 0.27682065];[ 7.60276552  5.18916226 10.4577442 ];1.46
Arhgap10;[0.69377465 2.69706895 7.71238323];[0.69377465 0.46313355 1.10509443];[2.85954248 1.45689767 5.06548754];1.58
Prmt10;[ 0.44170632  8.34205504 13.86736136];[0.44170632 0.26937518 0.668641  ];[1.66234355 1.010315   3.17876706];0.7
Tmem184c;[0.72627254 2.44696998 8.05396664];[0.72627254 0.47040966 1.14157844];[3.29140394 1.66335724 6.21901704];1.84
Lsm6;[  0.99775853  39.81488507 123.71075531];[1.04764645 0.80294688 1.25169421];[2.82750502 2.36070072 3.87373964];3.02
Mmaa;[ 0.33440435 15.31399695 15.37597559];[0.35112457 0.13726637 0.57398004];[1.00404719 0.54305386 3.02461233];0.33
Smad1;[  0.76696741 107.93530206 123.43706674];[0.76696741 0.56737956 1.07702498];[1.14362089 0.78509888 1.60958726];0.87
Otud4;[  0.29433853  80.0480728  181.28537771];[0.27962161 0.2002291  0.38960197];[2.46852991 1.65717476 3.70236073];0.66
Abce1;[ 0.93717025  3.93135313 21.87171632];[0.93717025 0.73251934 1.23287115];[5.56340669 3.66170434 7.93018797];4.21
Usp38;[0.17459966 0.35551181 1.29518284];[0.00872998        nan        nan];[3.64314998        nan        nan];0.43
Zfp330;[0.3085245  1.08836112 9.84013131];[0.3085245  0.22006673 0.42930158];[ 9.04123744  5.75292403 14.130356  ];2.17
Elmod2;[2.81223723e-01 2.70696141e+02 3.03541148e+02];[0.28122372 0.21856424 0.44222839];[1.12133534 0.68028353 1.83996661];0.32
Scoc;[ 1.11255909  9.14826716 16.82647448];[1.11255909 0.7269939  1.66268363];[1.83930729 1.09487292 3.5130203 ];1.82
Tecr;[   1.84551798  252.25983338 1245.21795499];[1.84551798 1.5954922  2.20449604];[4.78816386 4.08564827 5.78842808];9.04
Dnajb1;[ 0.8781767  17.10693326 46.13369771];[0.8781767  0.63448694 1.1623684 ];[2.69678364 1.9236332  4.36348492];2.25
Gipc1;[ 0.86693485  3.68152287 18.80814145];[0.86693485 0.65217291 1.16129261];[5.10879386 3.29436304 7.82955698];3.58
Pkn1;[ 0.18639137  4.64728874 11.62196998];[0.18639137 0.11095986 0.29877196];[2.50080652 1.41857271 4.69197205];0.45
Ddx39;[  0.99570316  18.6814514  152.38244983];[0.99570316 0.80870249 1.20343509];[8.15688495 6.33652041 9.8158351 ];7.71
Cd97;[  0.62338538  90.51234672 264.15201267];[0.62338538 0.50528184 0.78603885];[2.91840862 2.25402307 3.7728249 ];1.81
Asf1b;[ 0.17501894  1.86471154 15.79277759];[0.17501894 0.13122531 0.22960202];[ 8.46928722  5.90392549 12.30964108];1.36
Prkaca;[ 0.32486132  4.05385985 19.57895331];[0.32486132 0.21595687 0.49322588];[4.82970651 2.88281013 8.30318101];1.45
Samd1;[  0.23457015  87.04615428 193.29365273];[0.23457015 0.18402371 0.33466548];[2.22058808 1.45639947 3.43069183];0.52
Il27ra;[0.00910102 0.54089686 1.12094721];[0.00045505        nan        nan];[0.02072386        nan        nan];0.02
Dcaf15;[  0.55188649 106.61681348 155.40128547];[0.55188649 0.40975241 0.75930042];[1.45756828 1.02218478 2.06907535];0.8
Cc2d1a;[  0.50684071  38.84090001 126.09370545];[0.50684071 0.41034867 0.64184083];[3.24641564 2.4846986  4.26408917];1.62
Zswim4;[ 0.20629941 13.75751774 17.10341299];[0.21661438 0.13404402 0.35501739];[1.16861257 0.67514533 2.07401479];0.25
Mri1;[0.20117034 0.54101393 8.80306188];[0.20117034 0.13238001 0.29104257];[16.27141455 10.00206269 27.67733757];2.39
Ccdc130;[0.0990046  1.54373272 5.56368468];[0.0990046  0.04602177 0.18074566];[3.60404661 1.7240886  8.47402339];0.34
Ier2;[  0.51438373  12.49474038 160.4116708 ];[0.51438373 0.430292   0.61802335];[12.83833565 10.54080824 15.81598975];6.34
Nacc1;[0.18162411 1.66457852 5.53242481];[0.18162411 0.08818575 0.32267094];[3.323619   1.6477586  7.76181475];0.54
Trmt1;[ 0.61685088  2.69700764 13.8010319 ];[0.61685088 0.46578869 0.82836322];[5.11716455 3.33933654 7.61351639];2.57
Nfix;[ 0.10053545  0.46003544 39.36131946];[0.10053545 0.07004148 0.14065618];[ 85.56149351  55.8234335  133.5068611 ];7.06
Dand5;[0.11706544 4.48427615 4.64665572];[0.00585327        nan        nan];[1.03621088        nan        nan];0.12
Gadd45gip1;[  1.35274134 194.43835478 379.02573753];[1.4203784  1.10220576 1.73830288];[1.89085618 1.49945778 2.45223211];2.62
Calr;[  1.62337539  20.30475121 360.0607833 ];[1.70454416 1.43654104 2.00863113];[16.13687897 13.69611993 20.28371963];26.66
Farsa;[0.6980143  2.24217993 9.48857076];[0.6980143  0.47606278 1.01685647];[4.23185072 2.40903329 7.4300051 ];2.25
Syce2;[ 0.10786553  4.8200904  19.09124599];[0.10247226 0.06647205 0.16052532];[3.96076513 2.40818753 7.15156254];0.42
Gcdh;[0.48901866 3.46276445 9.64133683];[0.48901866 0.3299216  0.74695831];[2.78428896 1.57560861 4.74524125];1.19
Rnaseh2a;[  0.77773467 170.71897672 275.54500721];[0.77773467 0.59448275 0.99784173];[1.66244763 1.22632148 2.20542125];1.25
Hook2;[ 0.26629445 20.32283258 23.05512996];[0.26629445 0.10774641 0.43679481];[1.13444471 0.64375801 3.34452699];0.3
Tnpo2;[ 1.07690897  7.14477934 12.49278472];[1.07690897 0.68627658 1.69916305];[1.74851932 0.95974004 3.44411186];1.64
Fbxw9;[ 0.621424   26.66215969 33.70286602];[0.6524952  0.46703311 0.91138777];[1.22614898 0.81882897 1.76231766];0.77
Dhps;[0.52073251 5.04124525 9.13419006];[0.52073251 0.30272613 0.83930015];[1.81189163 0.99451377 3.76772871];0.86
Man2b1;[  1.28463301  38.59604986 116.77229562];[1.28463301 0.95907077 1.60053272];[3.02549862 2.36463154 3.75061716];3.76
Vps35;[   2.00588115  622.18605167 1229.75431841];[2.00588115 1.62499432 2.49133274];[1.97650577 1.56876155 2.47902049];3.95
Orc6;[  0.70342894 119.6874283  286.91839122];[0.73860039 0.56893671 0.90162531];[2.39723081 1.82496671 3.07830333];1.68
Dnaja2;[  1.23864894  43.56839182 213.02979734];[1.17671649 0.9239803  1.46760084];[4.88954925 4.04779474 5.94034513];5.89
Itfg1;[  0.95930795 265.34483985 735.07470197];[0.95930795 0.79941807 1.217048  ];[2.68715405 2.11190696 3.38444807];2.65
Phkb;[  0.44986024  79.52046913 134.58115703];[0.47235325 0.35265904 0.6443373 ];[1.59086445 1.12944654 2.2635218 ];0.76
Lonp2;[  0.77760566 168.6933658  473.62918318];[0.77760566 0.62932106 0.9683498 ];[2.80763373 2.18940564 3.61008397];2.17
Siah1a;[ 0.34090818 27.59417057 34.67278492];[0.35795359 0.22971523 0.52497192];[1.25652572 0.76154743 2.05374544];0.42
N4bp1;[  0.92157322 159.95920156 161.14588803];[0.92157322 0.68959926 1.31470069];[1.00741868 0.69963072 1.39321275];0.92
Papd5;[2.87351501e-01 3.39084854e+02 3.90748397e+02];[0.31608665 0.21774349 0.54584947];[1.01407829 0.59316014 1.74920384];0.33
Adcy7;[ 0.28423301 64.81397764 75.30844512];[0.28423301 0.18864277 0.44235661];[1.16191673 0.70716524 1.89936356];0.33
Brd7;[ 0.27423091  0.93174457 21.25663475];[0.27423091 0.21310446 0.34988829];[22.81380058 16.61125439 31.50325711];4.83
Cyld;[  0.39359491 113.16041996 164.22222789];[0.39359491 0.27593542 0.57050346];[1.49477083 0.96026947 2.26847756];0.57
Chd9;[0.42052418 2.81263237 7.60000245];[0.42052418 0.2504698  0.69299784];[2.70209592 1.43351264 5.36892854];0.99
Rbl2;[  0.3023267  146.55980121 151.7158167 ];[0.3023267  0.19951652 0.48715663];[1.03518028 0.61045843 1.70491529];0.31
Rpgrip1l;[ 0.21185396  6.88248904 17.85036232];[0.21185396 0.12819958 0.32342451];[2.5935911  1.58622666 4.84011128];0.53
Fto;[0.50625359 1.52032907 7.52283543];[0.50625359 0.37110429 0.70246   ];[4.94816258 3.12586386 7.54447879];1.88
Irx3;[1.57786239e-01 1.04540573e+02 2.43782265e+02];[0.16567555 0.12494606 0.24795129];[2.12206472 1.32238861 3.48317042];0.37
Irx5;[0.14092925 0.95570731 5.24090491];[0.14092925 0.06534065 0.23129664];[ 5.48379701  2.98005009 13.26721514];0.67
Mmp2;[  0.31493159  45.74445842 311.21916092];[0.31493159 0.26261257 0.38596274];[6.59932583 5.17953326 8.75398236];2.13
Amfr;[  0.95157609  98.96209532 271.92497019];[0.95157609 0.7778407  1.16896952];[2.74776892 2.18264962 3.47587254];2.59
Ogfod1;[0.67728424 3.56092572 8.92582585];[0.67728424 0.44662869 1.06574283];[2.50660265 1.33267637 4.52800908];1.43
Mt2;[ 0.23747199  4.79378607 42.25285781];[0.23747199 0.18295364 0.31028642];[ 8.81408916  6.08600058 12.71021091];1.99
Mt1;[  0.84978347  42.26930687 549.36263962];[0.84978347        nan        nan];[12.99672695 10.97582306 15.51377843];10.83
Nlrc5;[0.02600265 2.41860107 5.05294651];[0.00130013        nan        nan];[2.08920213        nan        nan];0.05
Fam192a;[0.3272637  0.94814774 6.77942734];[0.3272637  0.23941515 0.44666127];[ 7.15018037  4.73377092 10.7196665 ];1.74
Arl2bp;[  1.13290367  92.35079657 189.27818736];[1.13290367 0.91074625 1.43672396];[2.04955663 1.59881643 2.62501129];2.29
Cx3cl1;[  0.18557523  63.90040811 112.07164558];[0.18557523 0.13630702 0.27839549];[1.75384867 1.08720882 2.85685479];0.32
Ciapin1;[ 0.30503109  1.74533063 25.07146209];[0.30503109 0.2412875  0.38641488];[14.36487833 10.37529575 19.7182272 ];3.73
Dok4;[ 0.23586057 24.44903751 66.07186189];[0.2476536  0.17663235 0.33082526];[2.70243202 1.84205537 4.03037062];0.63
Ccdc102a;[ 0.34562904  3.13475799 19.28785202];[0.34562904 0.25612643 0.4610522 ];[6.15289987 4.17612642 9.2250431 ];1.92
Gpr56;[0.07155632 0.70376842 1.22599308];[0.00357782        nan        nan];[1.74204049        nan        nan];0.11
Kifc3;[3.25917361e-01 1.26153811e+02 3.30176226e+02];[0.32591736 0.24067766 0.43486372];[2.61725131 1.84314676 3.74098838];0.85
Gtl3;[  0.50133861  67.76570957 251.70515305];[0.50133861 0.40263146 0.6274225 ];[3.71434395 2.85009137 4.88873917];1.85
Csnk2a2;[ 0.6243444   2.42461742 18.80057588];[0.6243444  0.49265525 0.79563819];[ 7.75403811  5.47267465 10.8161963 ];3.85
Ndrg4;[ 1.14702333 13.28990485 38.7103358 ];[1.14702333 0.84007745 1.53249593];[2.91276245 2.04241189 4.73975958];3.08
Cnot1;[7.24631449e-01 5.91654524e+02 1.04864957e+03];[0.6521683  0.52689716 0.76493276];[1.98509006 1.45913521 2.65272323];1.28
Slc38a7;[  0.58671784  98.87132439 125.09119148];[0.58671784 0.42745258 0.826253  ];[1.26519183 0.86821056 1.82619016];0.74
Got2;[  1.40740713 230.14948595 500.40129767];[1.47777748 1.183382   1.79860168];[2.04379001 1.64705647 2.60496099];3.04
Cdh11;[3.56734000e-01 1.17865069e+02 4.61975960e+02];[0.356734   0.27983862 0.45860097];[3.91953244 2.88491654 5.43377346];1.39
Bean1;[2.17099952e-03 2.07246301e-01 5.02670388e+00];[0.00010855        nan        nan];[24.25473391         nan         nan];0.05
Tk2;[0.33719661 2.96567244 8.276821  ];[0.33719661 0.22137486 0.52659678];[2.79087498 1.57081521 4.79235089];0.84
Cklf;[ 0.49297577  7.77726528 19.26126174];[0.49297577 0.34111048 0.69477813];[2.47661113 1.63310766 4.09261272];1.15
Cmtm3;[  1.28418309 147.32762645 535.60254694];[1.28418309 1.07896634 1.54298646];[3.63545222 2.96615163 4.44492895];4.63
Cmtm4;[2.43984043e-01 1.40794248e+02 3.44599979e+02];[0.24398404 0.18843817 0.35411118];[2.37411673 1.56693334 3.67238224];0.6
Dync1li2;[ 0.9754942   4.2634068  20.83652071];[0.9754942  0.75150452 1.3068371 ];[4.88729359 3.11813783 7.17571682];3.88
Nae1;[  1.92850392 105.89889952 248.24521177];[1.92850392 1.42149425 2.44461635];[2.34417178 1.87090618 2.88397118];4.44
Rrad;[0.06677076 2.97170873 8.13277811];[0.06677076 0.02756987 0.1232529 ];[2.7367346  1.29090401 7.19457551];0.18
Fam96b;[  1.78855252  89.62042378 222.89906448];[1.69912489 1.22773843 2.1938378 ];[2.48714584 2.00746732 3.082324  ];4.36
Ces2g;[0.01858745 0.71539737 3.18839868];[3.46944695e-18            nan            nan];[4.45682191        nan        nan];0.08
Cbfb;[ 1.12876045 39.40480641 96.95225592];[1.0158844  0.74399525 1.41856331];[2.46041701 1.92591708 3.14661658];2.7
Tradd;[ 0.69654392  8.53268418 15.60728542];[0.73137111 0.46927944 1.03621048];[1.71937083 1.10441865 3.1842211 ];1.18
4931428F04Rik;[0.04389127 1.27544961 2.77763169];[0.00219456        nan        nan];[2.1777667       nan       nan];0.09
Exoc3l;[0.03597018 4.26061668 6.98915758];[0.0395672  0.01689176 0.10087186];[1.49277297 0.50852325 4.55137487];0.06
E2f4;[  0.64566211  55.78416074 106.96374414];[0.64566211 0.50034381 0.8943873 ];[1.91745726 1.42339677 2.58952177];1.22
Tmem208;[ 0.8516865   2.5275013  17.59891406];[0.8516865  0.66752691 1.09985721];[6.96296933 4.73337408 9.94016454];4.44
Fhod1;[0.25682969 1.4069413  9.82700365];[0.25682969 0.19251557 0.34479152];[ 6.98465788  4.72385875 10.1223062 ];1.52
Tppp3;[0.03583902 2.34293498 5.46344023];[0.00179195        nan        nan];[2.33187873        nan        nan];0.08
Atp6v0d1;[ 1.61891053 43.23664393 84.27472505];[1.69985606 1.35314134 2.08947469];[1.83220145 1.46700917 2.4176832 ];3.04
Ctcf;[0.21433384 1.34417024 8.07211611];[0.21433384 0.14655541 0.31250556];[6.00527813 3.67594903 9.65682332];1.11
Acd;[ 0.53659432  2.45758449 10.79886096];[0.53659432 0.3946487  0.74699054];[4.3940955  2.74141146 6.71516014];1.94
Pard6a;[ 0.17021449  9.04364475 19.70324143];[0.17872521 0.10069168 0.26716828];[2.1786837  1.26201303 3.9005607 ];0.36
Gfod2;[0.04925893 0.40378817 2.58870645];[0.00246295        nan        nan];[6.41105082        nan        nan];0.28
Ranbp10;[0.21470036 1.95951706 6.50042317];[0.21470036 0.12327121 0.3528433 ];[3.31735982 1.79116765 6.50895762];0.64
Cenpt;[  0.70233     97.78936588 220.53144571];[0.70233    0.55817131 0.89940243];[2.25516797 1.70569681 2.95537499];1.57
Thap11;[0.16016548 0.66953873 5.78536732];[0.16016548 0.08568984 0.2567395 ];[ 8.64082545  4.7836664  18.13222656];1.12
Nutf2;[  0.44669433  87.85665019 136.3575498 ];[0.44669433 0.31101111 0.65767148];[1.55204586 1.0038882  2.40631708];0.69
